nome;plesso;ordine;indirizzo;comune;email;tel;lat;lon
FALCONE BORSELLINO (Istituto Comprensivo);CIRIELLI SEC.1°;Secondaria I Grado;via Molise,4;Bari;baic80600p@istruzione.it;805371046;41.1219413;16.7959069
FALCONE BORSELLINO (Istituto Comprensivo);FALCONE BORSELLINO (Direzione) INFANZIA;Infanzia;via Cassala,15;Bari;baic80600p@istruzione.it;805741819;41.1182056;16.8382331
FALCONE BORSELLINO (Istituto Comprensivo);FALCONE BORSELLINO (Direzione) PRIMARIA;Primaria;via Cassala,15;Bari;baic80600p@istruzione.it;805741819;41.1182056;16.8382331
FALCONE BORSELLINO (Istituto Comprensivo);FALCONE BORSELLINO (Direzione) SEC. 1°;Secondaria I Grado;via Cassala,15;Bari;baic80600p@istruzione.it;805741819;41.1182056;16.8382331
FALCONE BORSELLINO (Istituto Comprensivo);LOPOPOLO INFANZIA;Infanzia;VIAL LAZIO,8;Bari;baic80600p@istruzione.it;805371395;;
FALCONE BORSELLINO (Istituto Comprensivo);PETRIGNANI PRIMARIA;Primaria;PIAZZA ROMITA,6;Bari;baic80600p@istruzione.it;805371005;41.1196363;16.7969463
FRACCACRETA (Istituto Comprensivo);SEC.1°;Secondaria I Grado;VIA VOLPE, 16;Bari;baic889003@istruzione.it;805302541;41.1555518;16.7633642
FRACCACRETA (Istituto Comprensivo);MARIA MONTESSORI INFANZIA;Infanzia;VIA RANIERI, 1/A;Bari;baic889003@istruzione.it;805306674;41.1532077;16.77381
FRACCACRETA (Istituto Comprensivo);Primaria;Primaria;VIA VITT. VENETO, 50;Bari;baic889003@istruzione.it;805300085;;
FRACCACRETA (Istituto Comprensivo);VIA VENETO;Secondaria I Grado;VIA VITT. VENETO, 50;Bari;baic889003@istruzione.it;5300085;;
GARIBALDI (Istituto Comprensivo);GARIBALDI INFANZIA;Infanzia;p.zza RISORGIMENTO, 1;Bari;baic81500d@istruzione.it;805799123;41.0601695;17.0893642
GARIBALDI (Istituto Comprensivo);GARIBALDI PRIMARIA;Primaria;p.zza RISORGIMENTO, 1;Bari;baic81500d@istruzione.it;805231106;41.0601695;17.0893642
GARIBALDI (Istituto Comprensivo);PASCOLI SEC. 1°;Secondaria I Grado;via PIZZOLI 58;Bari;baic81500d@istruzione.it;805214555;41.0483501;16.919962
GARIBALDI (Istituto Comprensivo);PIEMONTE (Direzione) INFANZIA;Infanzia;via E. FIERAMOSCA, 110;Bari;baic81500d@istruzione.it;805799123;;
GARIBALDI (Istituto Comprensivo);PIEMONTE (Direzione) SEC. 1°;Secondaria I Grado;PIZZOLI 1;Bari;baic81500d@istruzione.it;805214555;41.1275098;16.8605895
GARIBALDI (Istituto Comprensivo);PIEMONTE PRIMARIA 5;Primaria;via E. FIERAMOSCA, 110;Bari;baic81500d@istruzione.it;805799123;;
GARIBALDI (Istituto Comprensivo);R. MORO INFANZIA;Infanzia;VIA RAVANAS 1;Bari;baic81500d@istruzione.it;805793861;41.1277204;16.8579664
GARIBALDI (Istituto Comprensivo);R. MORO PRIMARIA;Primaria;VIA RAVANAS 1;Bari;baic81500d@istruzione.it;805793861;41.1277204;16.8579664
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo);CARMELA CINIGLIO PRIMARIA;Primaria;VIA VALENZANO,1;Bari;baic845009@istruzione.it;805001001;41.0412077;16.849642
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo);DE MARINIS SEC. 1°;Secondaria I Grado;Via Nicola Colonna, 1;Bari;baic845009@istruzione.it;805654496;;
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo);DON MARIO DALESIO (Direzione) PRIMARIA;Primaria;VIA FRANCESCO PEPE,2;Bari;baic845009@istruzione.it;805653193;41.0769978;16.8660396
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo);M.TERESA DI CALCUTTA INFANZIA;Infanzia;VIA OSPEDALE DI VENERE,8;Bari;baic845009@istruzione.it;805037730;41.0776812;16.8595697
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo);NICHOLAS GREEN INFANZIA;Infanzia;VIA ARDIGO,15;Bari;baic845009@istruzione.it;805035985;;
GRIMALDI - LOMBARDI (Istituto Comprensivo);BIAGIO GRIMALDI PRIMARIA;Primaria;VIA CACUDI, N. 1;Bari;baic84300n@istruzione.it;805374808;41.126809;16.7883709
GRIMALDI - LOMBARDI (Istituto Comprensivo);BREDA INFANZIA;Infanzia;VIA CACUDI, N. 1;Bari;baic84300n@istruzione.it;805374808;41.126809;16.7883709
GRIMALDI - LOMBARDI (Istituto Comprensivo);LINDGREN EX COMPARTO C;Infanzia;VIA CANDURA, 24;Bari;baic84300n@istruzione.it;808644013;41.124676;16.8021501
GRIMALDI - LOMBARDI (Istituto Comprensivo);LOMBARDI (Direzione) SEC. 1°;Secondaria I Grado;VIA LOMBARDIA, 2;Bari;baic84300n@istruzione.it;805371009;41.1200263;16.7892444
GRIMALDI - LOMBARDI (Istituto Comprensivo);LOMBARDI 1 SEZ. PRIMARIA;Primaria;VIA LOMBARDIA, 2;Bari;baic84300n@istruzione.it;805371009;41.1200263;16.7892444
JAPIGIA 1 - VERGA (Istituto Comprensivo);DON ORIONE INFANZIA;Infanzia;V.LE JAPIGIA 140 ;Bari;baic88400x@istruzione.it;805530943;41.115845;16.8912029
JAPIGIA 1 - VERGA (Istituto Comprensivo);DON ORIONE PRIMARIA;Primaria;V.LE JAPIGIA 140 ;Bari;baic88400x@istruzione.it;805530943;41.115845;16.8912029
JAPIGIA 1 - VERGA (Istituto Comprensivo);G.VERGA SEC. 1°;Secondaria I Grado;VIA P.CARABELLESE, 34;Bari;baic88400x@istruzione.it;080558+6758;;
JAPIGIA 1 - VERGA (Istituto Comprensivo);S.FRANCESCO (Direzione) INFANZIA;Infanzia;VIA PEUCETIA ;Bari;baic88400x@istruzione.it;805530943;41.1098478;16.8984597
JAPIGIA 1 - VERGA (Istituto Comprensivo);S.FRANCESCO (Direzione) PRIMARIA;Primaria;VIA PEUCETIA ;Bari;baic88400x@istruzione.it;805530943;41.1098478;16.8984597
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);AQUARO INFANZIA;Infanzia;VIA MORELLI E SILVATI, 5/3;Bari;baic88600g@istruzione.it;805431625;41.0826888;17.0227228
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);ARDITO INFANZIA;Infanzia;VIA MORELLI E SILVATI, 5/4;Bari;baic88600g@istruzione.it;808652251;41.0826888;17.0227228
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);G. RODARI (Direzione) PRIMARIA;Primaria;VIA ATTILIO CORRUBIA, 1;Bari;baic88600g@istruzione.it;805543956;;
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);LASCITO-RANIERI INFANZIA;Infanzia;VIA CALDAROLA, 24;Bari;baic88600g@istruzione.it;805540277;41.1074121;16.8964131
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);LOMBARDO-RADICE INFANZIA;Infanzia;PARALLELA PROLUNGAMENTO ;Bari;baic88600g@istruzione.it;805583982;40.80796;16.9187076
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);MAMELI PRIMARIA;Primaria;VIA MARTIRI DELLA RESISTENZA, 1;Bari;baic88600g@istruzione.it;805430012;41.0874212;16.9946254
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);PADRE PIO INFANZIA;Infanzia;VIA GUGLIELMO APPULO, 23;Bari;baic88600g@istruzione.it;805547228;41.1031409;16.8997295
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo);R. L. MONTALCINI (Torre a Mare) SEC. 1°;Secondaria I Grado;L.go Leopardi, 2;Bari;baic88600g@istruzione.it;805430011;41.0864113;16.9984241
MASSARI - GALILEI (Istituto Comprensivo);MASSARI (Direzione) SEC. 1°;Secondaria I Grado;VIA PETRERA,80;Bari;baic818001@istruzione.it;8653300;41.1098285;16.8629471
MASSARI - GALILEI (Istituto Comprensivo);GALILEI SEC. 1°;Secondaria I Grado;VIA NICOLA DI TULLIO,67;Bari;baic818001@istruzione.it;5566744;41.1149754;16.8631636
MASSARI - GALILEI (Istituto Comprensivo);MONTELLO INFANZIA;Infanzia;VIA DE GEMMIS 13;Bari;baic818001@istruzione.it;805475815;41.1123484;16.8660019
MASSARI - GALILEI (Istituto Comprensivo);MONTELLO PRIMARIA;Primaria;VIA DE GEMMIS 13;Bari;baic818001@istruzione.it;805475815;41.1123484;16.8660019
MASSARI - GALILEI (Istituto Comprensivo);PRIMARIA;Primaria;VIALE SALANDRA 18;Bari;baic818001@istruzione.it;805566662;41.1141583;16.8646804
DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo);CL. PEDIATRICA c/o Policlinico PRIMARIA;Primaria;PIAZZA GIULIO CESARE 11;Bari;baic817005@istruzione.it;805016690;41.1116427;16.8594522
MASSARI - GALILEI (Istituto Comprensivo);INFANZIA;Infanzia;VIA LEMBO 1/A;Bari;baic818001@istruzione.it;805566662;41.11451;16.8651857
MICHELANGELO (Istituto Comprensivo);S.S.1.G. 'MICHELANGELO';Secondaria I Grado;VIA GENERALE NICOLA STRAZIOTA, 1;Bari;baic8ae00d@istruzione.it;805026649;;
MICHELANGELO (Istituto Comprensivo);CARRANTE;Primaria;VIA CARRANTE, 10;Bari;baic8ae00d@istruzione.it;805014445;41.0950101;16.8656631
MAZZINI - MODUGNO (Istituto Comprensivo);G.MODUGNO SEC. 1°;Secondaria I Grado;VIA FORNARI, 6;Bari;baic847001@istruzione.it;805211367;40.80191;16.9219175
MAZZINI - MODUGNO (Istituto Comprensivo);MAZZINI PRIMARIA;Primaria;VIA SUPPA N. 7;Bari;baic847001@istruzione.it;805211367;40.798038;17.1230799
MAZZINI - MODUGNO (Istituto Comprensivo);PIAZZETTA FRATI CAPPUCCINI INFANZIA;Infanzia;Piazzetta Frati Cappuccini;Bari;baic847001@istruzione.it;805211367;41.1195285;16.8666115
UMBERTO 1°-S.NICOLA (Istituto Comprensivo);F.CORRIDONI (Direzione) PRIMARIA;Primaria;LARGO SAN SABINO 1;Bari;baic803007@istruzione.it;080/5214347;41.1279917;16.8690256
UMBERTO 1°-S.NICOLA (Istituto Comprensivo);N. PICCINNI PRIMARIA;Primaria;VIA CARDUCCI 10;Bari;baic803007@istruzione.it;805211803;41.1269974;16.8638222
UMBERTO 1°-S.NICOLA (Istituto Comprensivo);S. NICOLA;Secondaria I Grado;Largo Urbano II , 1;Bari;baic803007@istruzione.it;805218231;41.1305518;16.870216
ZINGARELLI (Istituto Comprensivo);ANNA FRANK INFANZIA;Infanzia;Via Stradella del Caffè, 26 ;Bari;baic81300t@istruzione.it;805613458;;
ZINGARELLI (Istituto Comprensivo);ANNA FRANK PRIMARIA;Primaria;Via Stradella del Caffè, 26 / Via M.L.King;Bari;baic81300t@istruzione.it;805613458;;
ZINGARELLI (Istituto Comprensivo);ZINGARELLI (Direzione);Secondaria I Grado;Via Pansini, 13;Bari;baic81300t@istruzione.it;805618272;41.2028377;16.5975782
PALESE - 27° Circolo;COLLODI;Infanzia;V.LE LEONARDO DEL TURCO, 6/8;Bari;baee02700t@istruzione.it;805306672;;
PALESE - 27° Circolo;D. D'AOSTA;Primaria;VIA DUCA D'AOSTA, 2;Bari;baee02700t@istruzione.it;805303319;40.7817757;17.2370927
PALESE - 27° Circolo;MARCO POLO;Primaria;V.LE LEONARDO DEL TURCO;Bari;baee02700t@istruzione.it;805303329;;
PALESE - 27° Circolo;VIA MACCHIE;Infanzia;VIA MACCHIE, 58;Bari;baee02700t@istruzione.it;808652440;41.1470136;16.7770437
RE DAVID - 14° Circolo;DON TONINO BELLO;Infanzia;VIA ULPIANI, 1;Bari;baee01400q@istruzione.it;080/5569487;41.1109495;16.8795216
RE DAVID - 14° Circolo;IQBAL MASIH;Primaria;VIA OMODEO, 27;Bari;baee01400q@istruzione.it;080/5025278;41.1065914;16.8834083
RE DAVID - 14° Circolo;M.GANDHI;Primaria;VIA ULPIANI, 1;Bari;baee01400q@istruzione.it;080/5569487;41.1109495;16.8795216
CIRILLO CONV.NAZ. 30° Circolo;PRIMARIA;Primaria;VIA DOMENICO CIRILLO 33;Bari;bavc010004@istruzione.it;805421855;41.1134353;16.8782822
CIRILLO CONV.NAZ. 30° Circolo;CIRILLO;Secondaria I Grado;VIA DOMENICO CIRILLO 33;Bari;bavc010004@istruzione.it;805421855;41.1134353;16.8782822
AMEDEO D'AOSTA;AMEDEO D'AOSTA;Secondaria I Grado;VIA OBERDAN, 8;Bari;bamm308002@istruzione.it;805534146;40.7854503;17.2355895
CARDUCCI G.;CARDUCCI G.;Secondaria I Grado;Via San Francesco d’Assisi, 63 - 70122 Bari;Bari;bamm003008@istruzione.it;805213163;41.1267297;16.863625
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore;VIVANTE;Secondaria II Grado;Piazza Armando Diaz n.10;Bari;bais03700e@istruzione.it;080/5540560;41.1227028;16.8776572
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore;GORJUX R.;Secondaria II Grado;Via Raffaele Bovio n.13;Bari;bais03700e@istruzione.it;080/5461463;41.0978709;16.8847246
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore;TRIDENTE N.;Secondaria II Grado;Viale Papa Giovanni XXIII n.59;Bari;bais03700e@istruzione.it;080/5574381;41.1070397;16.8697543
G.CESARE - I.I.S.S.;PRINCIPALE;Secondaria II Grado;VIALE EINAUDI 66;Bari;bais06100b@istruzione.it;805486027;41.0536157;17.0819531
G.CESARE -I.I.S.S.;SUCCURSALE;Secondaria II Grado;VIA VITERBO 3;Bari;bais06100b@istruzione.it;809909784;40.7788185;17.2462187
PANETTI - PITAGORA I.T.T.;PITAGORA;Secondaria II Grado;Corso Cavour, 249;Bari;batf230001@istruzione.it;805240095;41.1185799;16.8723219
PANETTI - PITAGORA I.T.T.;PANETTI;Secondaria II Grado;VIA RE DAVID, 186;Bari;batf230001@istruzione.it;805425412;41.1149924;16.8750107
PEROTTI A. - I.P.S.S.A.R. Ist.Servizi Albergh.e Ristor.;CENTRALE;Secondaria II Grado;via Niceforo 8;Bari;barh01000n@istruzione.it;805613581;41.1019449;16.8621246
PEROTTI A. - I.P.S.S.A.R. Ist.Servizi Albergh.e Ristor.;SUCCURSALE;Secondaria II Grado;v ia C. Ulpiani, 10;Bari;barh01000n@istruzione.it;805530091;;
MAJORANA E. - I.I.S.S.;BARI SAN PAOLO;Secondaria II Grado;VIA S. TRAMONTE, 2;Bari;BARH11000E@istruzione.it;805305335;;
MAJORANA E. - I.I.S.S.;SUCCURSALE;Secondaria II Grado;VIA NAZIONALE, 8;Bari;BARH11000E@istruzione.it;805305497;41.154922;16.7703891
E.DI SAVOIA-CALAMANDREI Ist.Istruzione Sec.Superiore;CALAMANDREI;Secondaria II Grado;VIA SAN GASPARE DEL BUFALO 1;Bari;bais04900r@istruzione.it;805035674;41.0685152;16.8643583
E.DI SAVOIA-CALAMANDREI Ist.Istruzione Sec.Superiore;E. DI SAVOIA Ist. Tecn.Attiv.Sociali;Secondaria II Grado;VIA CALDAROLA, SNC;Bari;bais04900r@istruzione.it;080/5586702;;
DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore;PINO PASCALI Liceo Art.co Ist. d'Arte;Secondaria II Grado;Corso Vittorio Veneto 14;Bari;basl06000t@istruzione.it;080 5793902;41.1277173;16.857154
DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore;DE NITTIS Liceo Art.co;Secondaria II Grado;via Timavo 25;Bari;basl06000t@istruzione.it;080 5563617;41.110106;16.8660031
IP SANTARELLA - DE LILLA;SEDE CENTRALE - VIA ROCCA;Secondaria II Grado;VIA G.ROCCA 2;Bari;bari130007@istruzione.it;809905355;;
IPSIA SANTARELLA - DE LILLA;SEDE SUCCURSALE - VIA CELSO ULPIANI;Secondaria II Grado;VIA CELSO ULPIANI 8;Bari;bari130007@istruzione.it;805421268;41.1109495;16.8795216
I.T. EUCLIDE-CARACCIOLO;SECONDO PLESSO ' CARACCIOLO';Secondaria II Grado;VIA CALDAROLA (POLIV.);Bari;bath040009@istruzione.it;080/5548802;;
I.T. EUCLIDE-CARACCIOLO;'EUCLIDE'  SEDE CENTRALE;Secondaria II Grado;VIA PREZZOLINI, SNC;Bari;bath040009@istruzione.it;080/5522025;;
SOCRATE - Liceo Classico;SOCRATE;Secondaria II Grado;via San Tommaso d'Aquino n. 4 - 70124 Bari;Bari;bapc150004@istruzione.it;805043941;41.0978293;16.858472
